"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 22 09:36:33 CST 2021","Mon Mar 22 09:36:33 CST 2021","161","testcase","test_login1","Test_login","","","test_login[li2-123456]",""
"passed","Mon Mar 22 09:36:32 CST 2021","Mon Mar 22 09:36:32 CST 2021","161","testcase","test_goodlist","Test_Goodlist","","","test_case_1[59--1-default-asc]",""
"passed","Mon Mar 22 09:36:34 CST 2021","Mon Mar 22 09:36:34 CST 2021","169","testcase","test_register","Test_Register","","","test_case_02[li43-123456-username-1]",""
"passed","Mon Mar 22 09:36:31 CST 2021","Mon Mar 22 09:36:32 CST 2021","1432","testcase","test_find","Test_Find","","","test_case_1[手机]",""
"failed","Mon Mar 22 09:36:34 CST 2021","Mon Mar 22 09:36:34 CST 2021","140","testcase","test_personalsave","Test_PersonalSave","","","test_case_3[--]",""
"passed","Mon Mar 22 09:36:29 CST 2021","Mon Mar 22 09:36:29 CST 2021","152","testcase","test_addadress","Test_Addaddress","","","test_case2[li-137123212321-动车98号--6-112-1567-0]",""
"failed","Mon Mar 22 09:36:34 CST 2021","Mon Mar 22 09:36:34 CST 2021","157","testcase","test_personalsave","Test_PersonalSave","","","test_case_2[li40-2-2015-09-12]",""
"passed","Mon Mar 22 09:36:29 CST 2021","Mon Mar 22 09:36:29 CST 2021","169","testcase","test_buy","Test_Buy","","","test_case2[5-goods-1---1380-2--0]",""
"passed","Mon Mar 22 09:36:29 CST 2021","Mon Mar 22 09:36:29 CST 2021","397","testcase","test_addadress","Test_Addaddress","","","test_case1[zhang-123456]",""
"failed","Mon Mar 22 09:36:34 CST 2021","Mon Mar 22 09:36:34 CST 2021","154","testcase","test_register","Test_Register","","","test_case_01[li46-123456-username-1]",""
"passed","Mon Mar 22 09:36:33 CST 2021","Mon Mar 22 09:36:33 CST 2021","147","testcase","test_login1","Test_login","","","test_case2[zhang-234567]",""
"passed","Mon Mar 22 09:36:33 CST 2021","Mon Mar 22 09:36:33 CST 2021","152","testcase","test_login1","Test_login","","","test_login[zhang-123456]",""
"passed","Mon Mar 22 09:36:30 CST 2021","Mon Mar 22 09:36:31 CST 2021","964","testcase","test_colletion","Test_Collection","","","test_case_collection",""
"passed","Mon Mar 22 09:36:33 CST 2021","Mon Mar 22 09:36:33 CST 2021","160","testcase","test_login1","Test_login","","","test_case4[zhang-1234]",""
"passed","Mon Mar 22 09:36:29 CST 2021","Mon Mar 22 09:36:30 CST 2021","161","testcase","test_buy","Test_Buy","","","test_case3[-goods-1---1380-2--0]",""
"passed","Mon Mar 22 09:36:30 CST 2021","Mon Mar 22 09:36:30 CST 2021","157","testcase","test_colletion","Test_Collection","","","test_case_login[li40-123456]",""
"passed","Mon Mar 22 09:36:33 CST 2021","Mon Mar 22 09:36:34 CST 2021","156","testcase","test_personalsave","Test_PersonalSave","","","test_case_1[li40-123456]",""
"passed","Mon Mar 22 09:36:33 CST 2021","Mon Mar 22 09:36:33 CST 2021","160","testcase","test_login1","Test_login","","","test_case4[zhang-12345678909876543212345]",""
"passed","Mon Mar 22 09:36:29 CST 2021","Mon Mar 22 09:36:29 CST 2021","160","testcase","test_buy","Test_Buy","","","test_case1[li-123456]",""
"passed","Mon Mar 22 09:36:33 CST 2021","Mon Mar 22 09:36:33 CST 2021","152","testcase","test_login1","Test_login","","","test_case3[吗云-123456]",""
"passed","Mon Mar 22 09:36:32 CST 2021","Mon Mar 22 09:36:33 CST 2021","178","testcase","test_goodlist","Test_Goodlist","","","test_case_2[69--1-default-asc]",""
